SNO,INSTCODE,NAME OF THE INSTITUTION,DIST,PLACE,branch_code,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,COLLFEE
65,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,RAJAHMUNDRY,CIV,132394,132394,147833,147833,144116,144116,143400,143400,146538,146538,132394,132394,145599,145599,132394,132394,138673,139094,64570
66,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,RAJAHMUNDRY,CSC,51002,57642,139646,139646,99274,99274,101016,118508,135294,135294,51002,73298,61834,73890,132348,132348,60229,64697,64570
67,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,RAJAHMUNDRY,CSD,47734,51490,151373,151373,146514,146514,83842,87954,75665,79088,47734,63302,59566,63685,125863,125863,56033,58685,64570
68,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,RAJAHMUNDRY,CSE,51807,51807,110608,119672,126140,140268,56056,96779,58146,58146,51807,51807,71278,71278,105749,109243,38770,42108,64570
69,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,RAJAHMUNDRY,CSM,74190,74190,147895,147895,151221,151221,82973,103567,74190,114251,74190,74190,74190,74190,85557,104787,97064,58259,64570
70,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,RAJAHMUNDRY,ECE,122810,122810,148297,149025,138930,139959,122810,142513,122810,122810,122810,122810,125091,125091,136851,136851,59599,61647,64570
71,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,RAJAHMUNDRY,EEE,86019,129899,123750,132902,110897,132921,146923,150587,134913,134913,124402,129899,136720,140416,148810,148810,118785,117793,64570
72,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,RAJAHMUNDRY,MEC,114944,142307,141408,142307,144564,144564,130755,142307,148285,148285,114944,142307,114944,146749,137712,142307,136688,123801,64570
73,GIER,"GODAVARI INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,RAJAHMUNDRY,MIN,118966,118966,118966,118966,118966,118966,118966,118966,118966,118966,118966,118966,118966,118966,118966,118966,,,64570
74,GIET,GIET ENGINEERING COLLEGE,EG,RAJAHMUNDRY,CSE,92385,109031,151209,151209,130108,148793,121963,142283,92385,109031,92385,109031,133407,133407,121250,121250,66542,66778,43000
75,GIET,GIET ENGINEERING COLLEGE,EG,RAJAHMUNDRY,ECE,117534,117534,129876,151340,150490,150490,123624,129344,117534,117534,117534,117534,117534,117534,129772,142480,71001,67556,43000
76,GIET,GIET ENGINEERING COLLEGE,EG,RAJAHMUNDRY,INF,65286,119619,136869,136869,79816,119619,141101,145186,143369,143369,65286,119619,147347,147347,114247,143439,71530,75455,43000
77,GIET,GIET ENGINEERING COLLEGE,EG,RAJAHMUNDRY,MEC,151745,151745,151745,151745,151766,151766,151745,151745,151775,151775,,151745,151745,151745,151745,151745,126019,,43000
78,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,EG,KAKINADA,COS,124872,124872,136908,136908,141085,141085,146578,146578,127542,127542,124872,124872,125170,129205,124872,124872,114935,126670,43000
79,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,EG,KAKINADA,CSE,62779,62779,138440,144865,140243,144123,98096,98096,103647,105528,62779,62779,72065,97360,91232,116221,72405,71287,43000
80,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,EG,KAKINADA,CSM,76987,76987,134323,134323,87233,87233,76987,76987,104791,104791,76987,76987,82940,82940,105662,105662,74587,74923,43000
81,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,EG,KAKINADA,ECE,64404,91650,138712,138712,146916,146916,109694,109694,105998,105998,118011,118011,126291,126291,124550,124550,83765,84169,43000
82,IDEL,IDEAL INSTITUTE OF TECHNOLOGY,EG,KAKINADA,MEC,147984,147984,147984,147984,147984,147984,147984,147984,147984,147984,147984,147984,147984,147984,147984,147984,,,43000
83,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",EG,RAJAHMUNDRY,AGR,,150867,,150867,,150867,,150867,,150867,,,,150867,,150867,,,43000
84,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",EG,RAJAHMUNDRY,AIM,,77526,,105250,,87117,,112476,,99859,,100115,,149011,,127637,,103271,43000
85,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",EG,RAJAHMUNDRY,CAI,,89397,,137206,,119078,,141339,,143252,,,,128997,,147033,,108047,43000
86,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",EG,RAJAHMUNDRY,CSE,,68349,,137258,,150768,,144784,,112481,,,,96623,,141506,,74725,43000
87,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",EG,RAJAHMUNDRY,DS,,134473,,149334,,134473,,149491,,134473,,145371,,144002,,149695,,128726,43000
88,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",EG,RAJAHMUNDRY,ECA,,135428,,136690,,135428,,135428,,135428,,,,147239,,135428,,146069,43000
89,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",EG,RAJAHMUNDRY,ECE,,150442,,150442,,150442,,150442,,150442,,150442,,150442,,150442,,108935,43000
90,ISTS,"INTERNATIONAL SCHOOL OF TECH
AND SCI FOR WOMEN",EG,RAJAHMUNDRY,EVT,,148349,,151272,,148349,,148349,,148349,,,,150351,,148349,,143092,43000
91,JNKFSF,"SCHOOL OF FOOD TECHNOLOGY
JNTUK KAKINADASELF FINANCE",EG,KAKINADA,FDE,87582,117791,151430,151430,133975,151468,121187,121187,98275,117791,111910,117791,119775,138484,135881,135881,119886,90790,45000
92,JNKPSF,"SCHOOL OF PHARMACEUTICAL SCI.
AND TECH.SELF FINANCE",EG,KAKINADA,PHM,116747,128285,116747,128285,116747,128285,116747,128285,116747,128285,116747,128285,116747,128285,116747,128285,,,45000
93,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,EG,KAKINADA,CIV,30675,30675,33653,33653,40890,73421,32971,32971,51622,51622,30675,30675,33638,33638,94912,94912,36183,43330,10000
94,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,EG,KAKINADA,CSE,2567,2994,6301,6301,2567,2994,2567,2994,2567,2994,2567,2994,44548,44548,2567,5794,2618,4435,10000
95,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,EG,KAKINADA,ECE,4271,4271,8992,8992,16412,16412,5734,5734,4373,4373,4271,4271,4271,4271,5438,40733,4580,4054,10000
96,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,EG,KAKINADA,EEE,10326,10326,21992,21992,32401,32401,20671,20671,17034,19830,10326,45053,14854,15705,13008,43383,10827,8719,10000
97,JNTK,JNTUK COLLEGE OF ENGG. KAKINADA,EG,KAKINADA,MEC,11097,20628,40849,44941,38727,65767,42447,42447,21739,51358,11097,20628,22449,45489,33920,33920,15916,38342,10000
98,JNTKSF,"JNTUK COLLEGE OF ENGG. KAKINADA
SELF FINANCE",EG,KAKINADA,CHE,53946,53946,133830,133830,134062,134062,150461,150461,107921,107921,53946,114097,59389,79038,86578,86578,79358,62595,45000
99,JNTKSF,"JNTUK COLLEGE OF ENGG. KAKINADA
SELF FINANCE",EG,KAKINADA,PEE,77300,94882,151453,151453,150443,151101,133936,144321,145430,148150,77300,94882,141883,145844,99342,149053,122394,135342,45000
100,JNTKSS,"JNTUK COLLEGE OF ENGG. KAKINADA
SELF SUPPORTING",EG,KAKINADA,CSM,7638,9725,22261,43724,129248,129248,14441,17499,9555,16538,7638,9725,14966,16423,17763,17763,8687,12624,75000
101,KIEK,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,KAKINADA,AID,124139,149012,144645,149012,124139,149012,150891,150891,141495,149012,124139,149012,143352,149090,124139,149012,146396,144419,43000
102,KIEK,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,KAKINADA,CAI,148210,148210,148210,148210,148210,148210,148210,148210,149007,149007,148210,148210,148210,148210,148210,148210,,150808,43000
